date,SP.URB.TOTL,AG.PRD.FOOD.XD,SN.ITK.DEFC.ZS
2024,146531222,NA,NA
2023,141685483,NA,19.9
2022,136953875,119.85,18.7
2021,132362871,117.33,17.6
2020,127896884,112.64,15.8
2019,123515077,109.77,14.3
2018,119182819,114.06,12.1
2017,114843267,109.08,11.5
2016,110505898,106.78,10.8
2015,106266334,97.74,10.7
2014,102100615,95.48,11.1
2013,97971440,84.66,11.4
2012,93918660,86.95,11.7
2011,89957755,78.94,11.1
2010,86117409,85.24,10.4
2009,82425706,75.54,9.9
2008,78877126,84.11,9.6
2007,75462360,79.1,9.4
2006,72189614,84.33,9.2
2005,68978387,79.33,9.1
2004,65872907,75.1,8.9
2003,62889861,70.53,8.8
2002,60034770,67.65,8.7
2001,57303483,64.33,8.7
2000,54696454,64.5,NA
