date,T2M,PRECTOTCORR,RH2M
20230101,21.94,0.0,53.9
20230102,22.29,0.0,54.14
20230103,22.8,0.0,57.69
20230104,23.38,0.0,56.52
20230105,23.03,0.0,57.13
20230106,23.02,0.0,56.94
20230107,23.13,0.0,48.72
20230108,22.31,0.0,45.08
20230109,21.36,0.0,43.87
20230110,21.93,0.0,46.73
20230111,21.81,0.0,47.24
20230112,22.26,0.0,48.83
20230113,22.32,0.0,49.73
20230114,22.71,0.0,48.08
20230115,23.07,0.0,53.32
20230116,23.42,0.0,48.56
20230117,23.29,0.0,50.41
20230118,23.56,0.0,51.74
20230119,23.87,0.0,52.17
20230120,24.4,0.0,51.7
20230121,24.66,0.0,51.34
20230122,24.64,0.0,50.34
20230123,24.76,0.0,49.16
20230124,25.37,0.0,49.16
20230125,25.59,0.0,44.76
20230126,25.42,0.0,45.39
20230127,25.34,0.0,56.58
20230128,25.97,0.01,74.28
20230129,25.03,0.14,79.82
20230130,26.44,0.0,65.08
20230131,25.78,0.15,61.47
20230201,26.35,0.03,64.23
20230202,25.06,0.0,47.06
20230203,25.39,0.0,45.66
20230204,26.03,0.0,46.24
20230205,26.08,0.04,45.61
20230206,25.18,0.0,43.24
20230207,25.08,0.0,44.09
20230208,24.48,0.0,41.76
20230209,25.09,0.0,38.48
20230210,25.34,0.0,39.38
20230211,25.22,0.0,33.11
20230212,25.46,0.0,28.76
20230213,25.8,0.0,31.74
20230214,25.23,0.0,33.23
20230215,24.82,0.0,35.81
20230216,24.56,0.0,32.73
20230217,25.49,0.0,34.16
20230218,25.78,0.0,33.17
20230219,25.88,0.0,30.97
20230220,26.44,0.0,31.41
20230221,25.97,0.0,34.86
20230222,26.65,0.0,40.65
20230223,26.81,0.01,43.69
20230224,27.41,0.01,46.61
20230225,27.98,1.61,54.97
20230226,28.3,0.02,48.62
20230227,27.2,0.31,62.51
20230228,27.22,0.31,66.47
20230301,27.2,0.21,68.24
20230302,27.42,0.41,61.87
20230303,28.28,0.23,66.78
20230304,28.59,1.85,67.7
20230305,28.81,1.82,67.97
20230306,28.23,1.65,70.21
20230307,28.25,0.47,69.04
20230308,27.92,0.64,71.08
20230309,26.25,0.53,80.29
20230310,27.77,0.41,68.61
20230311,26.94,0.43,68.42
20230312,26.31,0.01,50.87
20230313,27.38,0.0,53.21
20230314,27.18,0.02,61.13
20230315,27.6,0.4,62.03
20230316,27.2,0.38,59.95
20230317,28.09,0.35,59.32
20230318,27.26,0.72,58.3
20230319,26.81,0.37,67.23
20230320,27.63,0.04,61.87
20230321,26.4,3.43,69.39
20230322,26.44,0.69,72.22
20230323,27.75,2.59,67.0
20230324,26.26,3.0,73.89
20230325,27.34,0.17,69.92
20230326,26.27,0.52,72.74
20230327,27.61,0.08,56.84
20230328,27.7,0.0,52.25
20230329,27.68,0.02,42.57
20230330,27.76,1.96,61.23
20230331,28.08,0.08,53.64
20230401,28.56,0.01,50.44
20230402,28.5,0.02,49.09
20230403,28.15,0.01,60.57
20230404,26.79,0.01,70.81
20230405,29.0,0.01,57.77
20230406,29.25,1.4,59.73
20230407,28.44,1.44,70.18
20230408,27.69,1.07,72.09
20230409,26.3,1.66,74.4
20230410,28.13,0.67,65.71
20230411,27.37,1.46,72.68
20230412,28.35,0.19,64.63
20230413,29.11,0.06,60.68
20230414,29.21,0.07,58.82
20230415,28.17,0.7,67.0
20230416,28.31,0.36,67.18
20230417,28.13,0.45,64.21
20230418,29.98,0.0,57.48
20230419,30.1,0.02,60.39
20230420,30.24,0.11,61.36
20230421,27.94,1.54,71.45
20230422,27.36,1.16,73.77
20230423,26.48,6.68,82.51
20230424,26.69,3.88,79.93
20230425,28.7,0.43,66.65
20230426,27.87,3.35,73.96
20230427,25.96,6.39,82.16
20230428,26.12,1.03,78.29
20230429,27.79,0.1,69.53
20230430,26.55,0.93,76.53
20230501,27.25,1.09,72.23
20230502,27.42,3.64,73.05
20230503,26.21,7.51,79.76
20230504,26.73,6.02,77.43
20230505,26.73,3.99,77.29
20230506,27.58,3.69,71.77
20230507,27.44,0.74,74.44
20230508,27.1,0.79,76.88
20230509,28.71,0.36,67.47
20230510,27.44,1.58,77.15
20230511,26.58,3.57,81.26
20230512,26.7,2.64,80.05
20230513,28.36,0.44,71.95
20230514,28.83,3.33,64.66
20230515,27.97,4.31,76.52
20230516,27.06,10.17,82.17
20230517,26.51,8.4,85.57
20230518,25.79,3.09,87.38
20230519,27.54,1.98,79.68
20230520,27.08,8.66,83.58
20230521,26.13,2.18,87.84
20230522,26.4,2.93,83.99
20230523,27.02,5.11,81.1
20230524,28.76,0.67,73.99
20230525,27.93,1.97,79.03
20230526,27.08,2.79,83.62
20230527,26.91,1.78,81.64
20230528,26.15,0.68,81.82
20230529,27.14,0.97,74.77
20230530,28.33,0.62,71.89
20230531,26.88,0.66,80.26
