date,T2M,PRECTOTCORR,RH2M
20230101,20.99,0.0,36.21
20230102,21.36,0.0,39.87
20230103,22.23,0.0,42.44
20230104,22.6,0.0,41.23
20230105,22.29,0.0,40.14
20230106,22.7,0.0,35.92
20230107,21.82,0.0,32.22
20230108,20.72,0.0,31.6
20230109,20.95,0.0,30.93
20230110,20.86,0.0,35.06
20230111,20.79,0.0,36.48
20230112,21.14,0.0,34.48
20230113,21.46,0.0,34.24
20230114,21.97,0.0,32.85
20230115,21.7,0.0,34.85
20230116,22.56,0.0,33.38
20230117,22.44,0.0,34.82
20230118,23.05,0.0,33.59
20230119,23.96,0.0,34.13
20230120,23.84,0.0,34.82
20230121,23.85,0.0,32.95
20230122,23.8,0.0,30.19
20230123,24.61,0.0,29.54
20230124,24.51,0.0,29.35
20230125,25.56,0.0,26.68
20230126,26.6,0.0,26.6
20230127,27.04,0.0,30.53
20230128,27.47,0.0,33.63
20230129,27.95,0.0,53.98
20230130,28.54,0.0,31.79
20230131,27.77,0.0,25.99
20230201,26.95,0.0,23.08
20230202,26.03,0.0,25.49
20230203,27.04,0.0,29.18
20230204,27.43,0.0,26.07
20230205,27.17,0.0,22.64
20230206,26.43,0.0,24.2
20230207,25.83,0.0,23.82
20230208,25.72,0.0,21.71
20230209,26.39,0.0,21.04
20230210,25.92,0.0,16.74
20230211,25.22,0.0,14.19
20230212,24.76,0.0,17.24
20230213,25.05,0.0,19.93
20230214,24.05,0.0,22.95
20230215,22.77,0.0,22.29
20230216,22.56,0.0,22.13
20230217,23.98,0.0,23.02
20230218,24.15,0.0,20.94
20230219,24.21,0.0,19.78
20230220,25.1,0.0,20.07
20230221,25.71,0.0,20.89
20230222,26.18,0.0,23.54
20230223,26.97,0.0,22.66
20230224,27.7,0.0,21.99
20230225,28.07,0.0,19.73
20230226,28.45,0.0,16.3
20230227,29.05,0.0,16.02
20230228,30.04,0.0,16.89
20230301,29.97,0.0,16.76
20230302,30.77,0.0,17.8
20230303,30.33,0.02,43.69
20230304,29.94,5.87,55.23
20230305,31.13,9.28,49.3
20230306,30.04,0.75,36.92
20230307,30.6,0.0,34.56
20230308,29.53,0.0,30.28
20230309,30.1,0.0,33.6
20230310,29.32,7.2,26.46
20230311,27.64,0.0,25.56
20230312,27.31,0.0,22.76
20230313,28.22,0.0,20.67
20230314,27.55,0.0,20.84
20230315,26.8,0.0,21.55
20230316,26.96,0.0,22.03
20230317,28.09,0.0,25.13
20230318,28.72,0.0,20.39
20230319,28.45,0.0,48.33
20230320,29.41,0.0,45.39
20230321,30.65,0.0,36.99
20230322,29.42,0.01,52.19
20230323,30.49,0.0,44.02
20230324,30.69,0.07,39.62
20230325,28.9,0.22,55.08
20230326,29.27,0.0,23.78
20230327,28.54,0.0,19.35
20230328,28.47,0.0,15.33
20230329,29.1,0.0,13.66
20230330,29.88,0.0,15.85
20230331,30.85,0.0,19.92
20230401,31.41,0.0,20.12
20230402,29.68,0.0,17.95
20230403,30.61,0.0,16.93
20230404,31.2,0.0,18.63
20230405,31.89,0.0,18.06
20230406,31.89,0.0,17.23
20230407,31.19,1.55,39.22
20230408,28.96,15.03,64.73
20230409,29.91,0.39,58.09
20230410,30.31,1.42,57.14
20230411,31.17,0.0,49.46
20230412,30.56,0.0,48.49
20230413,30.41,0.0,27.56
20230414,30.75,0.0,20.83
20230415,31.21,0.0,19.78
20230416,30.81,0.0,36.04
20230417,31.54,0.0,43.66
20230418,32.92,0.0,39.55
20230419,33.9,0.0,41.65
20230420,32.96,0.02,47.99
20230421,32.36,2.53,49.11
20230422,32.86,0.59,47.01
20230423,28.79,20.37,69.17
20230424,27.61,16.99,76.68
20230425,30.07,0.0,56.99
20230426,30.15,0.38,51.01
20230427,27.51,13.08,73.74
20230428,27.92,1.89,68.87
20230429,30.91,0.0,48.7
20230430,26.74,21.9,73.66
20230501,27.87,1.94,67.41
20230502,28.73,17.18,64.04
20230503,26.85,25.34,75.84
20230504,27.25,8.41,75.01
20230505,27.7,1.2,68.68
20230506,28.51,1.84,67.65
20230507,29.02,0.0,57.7
20230508,28.62,1.67,59.3
20230509,29.5,0.01,58.58
20230510,29.42,0.09,61.41
20230511,27.79,42.44,79.26
20230512,27.31,12.34,79.03
20230513,27.16,6.24,70.31
20230514,28.77,0.09,57.9
20230515,27.85,17.61,72.33
20230516,28.9,1.22,72.63
20230517,27.46,14.96,81.88
20230518,27.45,0.41,79.61
20230519,28.53,0.02,72.23
20230520,27.98,7.8,75.26
20230521,27.96,0.55,77.47
20230522,27.11,2.58,79.72
20230523,28.12,0.65,73.31
20230524,28.77,0.0,68.63
20230525,29.65,0.0,68.69
20230526,29.28,9.68,73.7
20230527,28.56,10.64,75.93
20230528,28.29,0.73,74.34
20230529,27.68,0.32,74.06
20230530,28.94,0.04,66.33
20230531,28.0,0.0,72.57
20230601,28.1,0.01,72.16
20230602,28.38,0.0,71.2
20230603,26.76,0.03,75.87
20230604,28.4,0.2,68.69
20230605,27.52,4.94,74.42
20230606,26.25,30.32,84.7
20230607,26.22,12.44,84.73
20230608,25.79,18.43,84.47
20230609,26.58,0.94,78.84
20230610,25.73,5.61,84.66
20230611,25.88,19.68,85.25
20230612,25.0,4.77,84.57
20230613,25.29,4.83,82.41
20230614,26.34,2.26,78.1
20230615,27.14,0.44,76.26
20230616,26.83,0.03,78.95
20230617,27.3,0.01,77.23
20230618,26.9,0.01,79.82
20230619,26.87,0.02,79.26
20230620,27.04,0.23,76.61
20230621,25.92,0.51,81.65
20230622,25.87,0.14,79.31
20230623,25.87,0.09,78.33
20230624,26.37,0.53,77.01
20230625,26.34,4.1,76.96
20230626,26.37,2.75,76.97
20230627,26.46,3.46,78.53
20230628,27.33,3.34,74.14
20230629,26.77,5.67,78.49
20230630,27.13,0.22,76.1
20230701,27.69,0.44,71.5
20230702,26.47,7.51,80.43
20230703,26.35,4.55,80.36
20230704,27.4,1.76,74.14
20230705,26.33,0.25,78.18
20230706,26.44,0.01,75.23
20230707,27.3,0.01,72.24
20230708,27.19,0.06,72.3
20230709,26.04,0.09,75.03
20230710,27.45,1.77,69.6
20230711,27.73,7.05,73.02
20230712,27.91,2.67,72.73
20230713,27.0,7.22,77.09
20230714,26.52,1.68,73.79
20230715,27.6,0.66,64.74
20230716,28.25,1.32,67.18
20230717,29.29,0.08,63.63
20230718,29.04,0.88,66.1
20230719,27.44,0.55,74.03
20230720,27.72,0.2,72.31
20230721,26.97,0.42,75.05
20230722,27.36,0.65,71.65
20230723,25.9,7.21,79.25
20230724,27.5,0.15,70.55
20230725,28.07,0.01,67.63
20230726,28.64,0.01,66.54
20230727,28.14,0.01,68.41
20230728,26.92,0.03,73.92
20230729,28.32,0.03,65.73
20230730,26.85,0.45,73.44
20230731,27.56,0.28,70.45
20230801,27.22,0.22,72.91
20230802,26.94,0.77,72.63
20230803,27.84,1.22,69.13
20230804,27.95,1.27,67.58
20230805,26.77,2.97,72.58
20230806,25.06,21.66,84.72
20230807,23.54,4.03,84.11
20230808,26.24,4.97,77.4
20230809,25.57,13.83,83.46
20230810,24.54,14.04,88.55
20230811,25.7,5.29,82.9
20230812,26.27,3.08,78.54
20230813,25.82,11.23,80.95
20230814,25.51,12.62,82.38
20230815,26.18,2.37,77.9
20230816,26.83,2.96,76.69
20230817,27.7,0.28,73.92
20230818,26.99,2.44,78.62
20230819,26.35,2.92,80.78
20230820,25.9,2.64,82.52
20230821,26.17,2.47,82.13
20230822,26.8,0.69,78.86
20230823,26.24,4.49,81.76
20230824,25.85,43.38,83.39
20230825,26.54,0.31,75.75
20230826,27.36,3.6,74.25
20230827,25.37,11.07,86.01
20230828,26.17,0.55,80.84
20230829,25.15,0.27,82.78
20230830,26.01,0.07,79.19
20230831,25.84,0.06,77.61
20230901,25.39,0.29,81.62
20230902,25.95,0.1,78.25
20230903,26.75,1.52,74.64
20230904,26.33,6.2,76.07
20230905,25.1,3.6,81.69
20230906,26.2,0.53,75.73
20230907,27.87,0.32,70.32
20230908,26.99,2.94,80.41
20230909,25.51,40.17,86.58
20230910,26.16,0.76,81.56
20230911,25.71,1.64,84.43
20230912,26.15,2.6,84.2
20230913,25.76,3.29,84.37
20230914,25.67,5.18,83.69
20230915,26.19,1.57,82.21
20230916,25.39,12.58,86.05
20230917,25.07,12.94,86.13
20230918,25.91,24.47,82.92
20230919,25.43,2.39,80.39
20230920,25.92,2.77,83.14
20230921,26.97,3.77,78.25
20230922,27.49,4.12,76.12
20230923,25.89,10.4,85.01
20230924,25.49,3.75,83.89
20230925,26.73,0.68,78.35
20230926,27.23,0.07,76.96
20230927,26.97,2.26,78.34
20230928,26.87,2.23,79.69
20230929,25.77,4.95,84.07
20230930,25.68,7.63,81.56
20231001,26.9,9.18,75.19
20231002,27.18,14.76,78.01
20231003,27.38,0.07,76.12
20231004,27.13,0.0,74.95
20231005,27.82,0.08,76.92
20231006,27.39,0.06,76.84
20231007,27.07,0.0,65.08
20231008,26.58,0.0,68.55
20231009,27.88,0.0,65.07
20231010,27.24,0.0,71.41
20231011,27.47,0.01,75.64
20231012,27.49,0.03,75.74
20231013,27.18,0.01,76.68
20231014,28.36,0.05,70.86
20231015,26.81,2.51,77.65
20231016,25.56,8.62,86.01
20231017,27.75,2.85,69.87
20231018,28.75,0.04,61.37
20231019,27.33,0.0,61.52
20231020,27.91,0.0,65.5
20231021,27.53,0.0,60.67
20231022,27.6,0.0,56.83
20231023,27.3,0.0,44.63
20231024,26.65,0.0,42.14
20231025,26.73,0.0,51.04
20231026,27.95,0.0,48.25
20231027,27.57,0.0,44.3
20231028,28.76,0.0,43.37
20231029,28.66,0.0,49.65
20231030,29.48,0.0,54.19
20231031,28.98,0.0,39.57
20231101,28.54,0.0,47.57
20231102,29.35,0.0,44.54
20231103,29.03,0.0,50.64
20231104,28.98,0.01,58.74
20231105,29.08,0.0,53.86
20231106,28.46,0.0,36.45
20231107,27.56,0.0,34.15
20231108,28.29,0.0,35.32
20231109,28.53,0.0,40.59
20231110,29.83,0.0,38.9
20231111,28.67,0.0,38.53
20231112,28.59,0.0,41.09
20231113,28.97,0.0,35.81
20231114,29.31,0.0,41.62
20231115,27.67,0.61,58.08
20231116,28.21,0.05,46.43
20231117,27.64,0.0,30.53
20231118,27.4,0.0,26.47
20231119,26.59,0.0,31.76
20231120,26.82,0.0,30.8
20231121,27.2,0.0,33.16
20231122,27.74,0.0,33.36
20231123,27.93,0.0,34.52
20231124,29.39,0.0,33.4
20231125,30.33,0.0,45.92
20231126,29.65,0.0,36.72
20231127,28.8,0.0,34.35
20231128,28.71,0.0,30.69
20231129,28.91,0.0,28.58
20231130,28.82,0.0,28.27
20231201,28.28,0.0,28.77
20231202,27.75,0.0,26.29
20231203,27.46,0.0,23.22
20231204,26.78,0.0,22.93
20231205,26.9,0.0,24.23
20231206,26.98,0.0,23.2
20231207,26.5,0.0,21.49
20231208,26.34,0.0,21.56
20231209,25.64,0.0,21.84
20231210,25.56,0.0,19.65
20231211,23.56,0.0,25.61
20231212,22.56,0.0,24.42
20231213,22.52,0.0,27.29
20231214,24.1,0.0,29.96
20231215,24.95,0.0,29.14
20231216,25.06,0.0,26.01
20231217,25.31,0.0,22.44
20231218,25.64,0.0,20.27
20231219,26.47,0.0,22.18
20231220,26.38,0.0,24.55
20231221,26.49,0.0,25.0
20231222,25.13,0.0,24.1
20231223,24.17,0.0,24.13
20231224,24.07,0.0,23.38
20231225,23.76,0.0,20.63
20231226,22.97,0.0,21.73
20231227,23.03,0.0,20.86
20231228,23.53,0.0,21.88
20231229,24.22,0.0,24.93
20231230,24.88,0.0,24.82
20231231,25.37,0.0,22.32
