date,T2M,PRECTOTCORR,RH2M
20230101,17.86,0.0,33.55
20230102,17.68,0.0,38.62
20230103,19.04,0.0,40.38
20230104,19.43,0.0,41.37
20230105,19.47,0.0,40.64
20230106,19.91,0.0,33.74
20230107,18.46,0.0,34.14
20230108,18.77,0.0,31.85
20230109,19.5,0.0,32.35
20230110,19.2,0.0,32.01
20230111,18.62,0.0,33.24
20230112,18.71,0.0,31.7
20230113,19.33,0.0,31.0
20230114,18.8,0.0,31.7
20230115,18.93,0.0,33.66
20230116,19.53,0.0,32.45
20230117,19.31,0.0,31.71
20230118,19.84,0.0,33.38
20230119,21.45,0.0,34.78
20230120,22.1,0.0,33.62
20230121,21.79,0.0,31.59
20230122,21.77,0.0,28.56
20230123,21.84,0.0,27.77
20230124,22.14,0.0,25.86
20230125,23.08,0.0,25.69
20230126,24.01,0.0,28.56
20230127,25.45,0.0,28.03
20230128,27.48,0.0,31.7
20230129,27.01,0.0,35.63
20230130,26.69,0.0,30.53
20230131,26.54,0.0,24.68
20230201,24.41,0.0,22.93
20230202,23.76,0.0,26.58
20230203,25.26,0.0,28.67
20230204,25.29,0.0,30.99
20230205,25.31,0.0,27.31
20230206,25.12,0.0,28.61
20230207,24.27,0.0,25.0
20230208,23.09,0.0,23.24
20230209,23.12,0.0,22.37
20230210,23.15,0.0,17.55
20230211,22.08,0.0,17.64
20230212,21.59,0.0,21.03
20230213,21.95,0.0,23.36
20230214,21.86,0.0,25.77
20230215,19.72,0.0,25.16
20230216,19.69,0.0,22.8
20230217,20.24,0.0,23.92
20230218,20.85,0.0,21.56
20230219,20.43,0.0,21.42
20230220,21.41,0.0,22.17
20230221,22.2,0.0,22.68
20230222,22.91,0.0,24.18
20230223,23.99,0.0,24.74
20230224,24.73,0.0,23.89
20230225,25.12,0.0,20.92
20230226,25.79,0.0,18.75
20230227,26.74,0.0,18.51
20230228,27.2,0.0,19.91
20230301,26.59,0.0,19.27
20230302,27.59,0.0,17.87
20230303,27.41,0.0,20.11
20230304,29.45,0.0,20.18
20230305,29.21,0.0,30.57
20230306,29.83,0.0,27.07
20230307,29.72,0.0,20.91
20230308,29.54,0.0,23.0
20230309,28.52,0.0,18.19
20230310,28.57,0.0,18.18
20230311,28.43,0.0,17.57
20230312,27.62,0.0,15.53
20230313,25.27,0.0,17.14
20230314,25.53,0.0,17.25
20230315,24.97,0.0,17.0
20230316,25.08,0.0,15.95
20230317,24.79,0.0,14.83
20230318,26.6,0.0,13.67
20230319,28.65,0.0,42.62
20230320,29.45,0.0,37.98
20230321,29.24,0.0,27.03
20230322,29.22,0.01,38.19
20230323,29.63,0.15,38.33
20230324,29.19,0.0,20.88
20230325,28.4,0.0,21.07
20230326,27.14,0.0,19.35
20230327,26.94,0.0,20.98
20230328,26.76,0.0,17.22
20230329,26.99,0.0,15.15
20230330,27.3,0.0,15.44
20230331,26.86,0.0,17.72
20230401,27.16,0.0,16.72
20230402,27.24,0.0,15.13
20230403,27.78,0.0,14.52
20230404,28.75,0.0,13.07
20230405,28.63,0.19,21.55
20230406,30.08,0.0,16.82
20230407,31.42,0.0,22.41
20230408,30.74,0.0,53.1
20230409,29.52,0.01,51.64
20230410,30.53,0.0,41.99
20230411,29.83,0.0,21.12
20230412,29.31,0.0,17.92
20230413,29.32,0.0,16.47
20230414,29.94,0.0,17.41
20230415,30.97,0.0,16.85
20230416,29.74,0.0,25.09
20230417,31.39,0.05,35.66
20230418,32.24,0.0,37.33
20230419,33.06,0.0,20.58
20230420,32.64,0.0,17.74
20230421,32.05,0.02,40.24
20230422,32.36,0.01,45.52
20230423,30.34,4.08,57.11
20230424,27.3,58.4,75.3
20230425,30.8,0.02,49.73
20230426,30.98,0.0,46.23
20230427,30.09,0.05,58.39
20230428,30.65,0.02,51.36
20230429,31.9,0.0,36.1
20230430,30.63,0.0,25.82
20230501,30.02,0.0,35.34
20230502,30.61,0.0,36.57
20230503,31.29,0.0,41.89
20230504,31.77,0.0,45.0
20230505,31.41,0.23,50.1
20230506,32.07,0.13,40.78
20230507,30.71,0.0,37.72
20230508,30.38,0.0,35.97
20230509,31.92,0.0,45.5
20230510,31.9,0.0,48.1
20230511,30.33,1.32,58.72
20230512,30.72,0.0,49.06
20230513,30.21,0.19,42.58
20230514,31.84,0.14,33.18
20230515,32.04,0.12,43.95
20230516,31.61,0.08,56.11
20230517,31.23,0.08,59.54
20230518,31.42,0.42,58.18
20230519,32.56,0.0,52.79
20230520,32.89,0.01,50.52
20230521,31.71,0.01,55.17
20230522,31.21,0.04,54.19
20230523,33.45,0.0,42.78
20230524,33.93,0.0,44.68
20230525,34.09,0.0,42.76
20230526,33.89,0.24,46.33
20230527,33.02,0.0,50.12
20230528,32.75,0.0,47.34
20230529,32.0,0.0,49.7
20230530,32.95,0.0,43.77
20230531,33.11,0.0,46.49
20230601,31.77,0.15,55.06
20230602,30.8,0.06,57.31
20230603,29.42,2.4,62.76
20230604,30.28,0.39,56.73
20230605,30.75,0.02,51.74
20230606,31.88,0.03,52.22
20230607,30.09,1.35,59.18
20230608,27.53,14.43,73.2
20230609,29.58,0.15,59.76
20230610,30.23,0.16,55.37
20230611,27.94,9.81,66.26
20230612,27.97,1.49,65.04
20230613,29.69,1.13,57.17
20230614,29.79,0.25,54.68
20230615,30.41,1.94,52.47
20230616,30.48,0.83,54.33
20230617,32.08,0.0,48.03
20230618,32.12,0.0,50.75
20230619,31.33,0.09,55.0
20230620,29.63,0.26,60.31
20230621,29.11,0.38,60.42
20230622,29.06,0.87,59.02
20230623,29.09,1.04,58.1
20230624,28.9,4.5,59.96
20230625,28.49,1.21,59.48
20230626,30.02,0.11,51.17
20230627,31.29,0.01,45.7
20230628,31.1,0.13,48.09
20230629,30.13,1.1,52.15
20230630,30.57,0.0,48.43
20230701,31.55,0.01,44.6
20230702,31.81,0.41,46.78
20230703,32.08,0.77,47.94
20230704,29.91,5.41,58.86
20230705,30.39,0.68,53.75
20230706,30.78,0.0,50.26
20230707,31.67,0.07,46.71
20230708,30.9,1.43,51.27
20230709,27.51,19.89,70.28
20230710,30.21,0.1,53.48
20230711,30.39,2.39,54.36
20230712,31.0,0.72,52.83
20230713,29.55,5.27,61.7
20230714,28.97,0.8,57.92
20230715,31.11,1.82,51.01
20230716,31.39,0.38,50.37
20230717,32.36,0.0,46.73
20230718,32.95,0.01,46.01
20230719,31.26,0.39,55.42
20230720,30.95,5.11,56.5
20230721,26.76,29.14,73.3
20230722,29.46,0.65,57.44
20230723,27.83,5.34,70.05
20230724,29.45,0.32,62.23
20230725,30.14,0.05,59.45
20230726,30.45,0.0,57.29
20230727,30.08,0.13,57.85
20230728,29.36,1.83,61.25
20230729,29.05,1.89,61.94
20230730,29.81,1.4,59.2
20230731,30.73,0.49,58.23
20230801,28.62,1.01,66.21
20230802,28.01,2.75,69.03
20230803,27.59,9.05,71.42
20230804,28.99,0.23,65.36
20230805,28.8,1.73,64.45
20230806,25.0,6.43,84.16
20230807,26.07,8.63,77.01
20230808,25.7,11.83,80.98
20230809,26.19,2.92,75.9
20230810,25.87,3.91,77.2
20230811,27.32,2.22,70.87
20230812,28.24,0.76,65.48
20230813,27.5,2.64,69.28
20230814,27.31,4.19,67.23
20230815,28.03,0.58,64.97
20230816,28.9,0.55,60.79
20230817,29.64,2.08,57.21
20230818,30.06,0.09,54.07
20230819,30.31,1.25,57.49
20230820,28.18,4.82,67.02
20230821,28.34,0.2,65.42
20230822,29.63,0.01,60.33
20230823,31.02,0.19,54.8
20230824,28.31,2.8,68.08
20230825,27.9,0.82,67.06
20230826,29.85,0.62,56.97
20230827,27.37,8.55,72.23
20230828,28.9,0.05,65.05
20230829,29.33,0.21,61.43
20230830,29.34,0.11,60.81
20230831,29.36,0.35,60.41
20230901,29.6,0.15,60.23
20230902,28.06,5.94,65.93
20230903,28.77,0.4,61.25
20230904,26.96,8.98,72.9
20230905,28.24,2.32,64.47
20230906,28.79,0.14,61.3
20230907,29.11,0.02,55.66
20230908,29.06,44.23,60.74
20230909,25.41,21.11,83.49
20230910,27.48,2.64,71.46
20230911,28.85,0.04,67.27
20230912,29.34,2.6,66.12
20230913,29.17,1.24,65.78
20230914,28.64,2.0,67.53
20230915,27.37,2.72,74.66
20230916,28.15,1.87,70.81
20230917,28.03,3.62,69.93
20230918,29.04,0.23,63.74
20230919,28.51,0.12,60.35
20230920,28.42,0.0,59.0
20230921,29.76,0.0,56.43
20230922,30.32,0.01,51.95
20230923,30.38,0.82,53.37
20230924,28.33,3.65,65.37
20230925,28.94,0.92,64.16
20230926,29.59,0.01,59.89
20230927,30.32,0.0,56.88
20230928,30.63,0.02,52.44
20230929,28.63,0.71,64.59
20230930,28.04,2.12,66.8
20231001,27.25,6.49,72.82
20231002,26.52,9.88,79.02
20231003,27.91,0.03,62.2
20231004,27.83,0.0,50.33
20231005,29.04,0.2,56.15
20231006,27.79,0.03,63.01
20231007,26.96,0.0,55.65
20231008,27.66,0.0,49.82
20231009,28.4,0.0,48.98
20231010,28.65,0.0,46.56
20231011,28.76,0.0,45.56
20231012,29.28,0.0,47.5
20231013,29.3,0.0,46.95
20231014,27.47,0.0,40.42
20231015,27.48,0.0,40.8
20231016,28.77,0.0,45.03
20231017,28.2,0.02,56.9
20231018,28.24,0.0,50.51
20231019,27.58,0.0,37.31
20231020,27.55,0.0,38.24
20231021,27.11,0.0,34.37
20231022,27.08,0.0,32.58
20231023,26.73,0.0,32.06
20231024,26.42,0.0,30.22
20231025,26.37,0.0,31.79
20231026,26.64,0.0,30.38
20231027,26.73,0.0,26.93
20231028,27.59,0.0,30.29
20231029,27.73,0.0,31.15
20231030,27.39,0.0,34.23
20231031,27.48,0.0,32.79
20231101,25.78,0.0,33.27
20231102,27.07,0.0,33.42
20231103,27.57,0.0,34.71
20231104,27.89,0.0,40.35
20231105,28.41,0.0,37.58
20231106,26.84,0.0,34.46
20231107,25.87,0.0,30.66
20231108,26.3,0.0,26.8
20231109,26.85,0.0,29.95
20231110,26.95,0.0,33.43
20231111,26.98,0.0,31.83
20231112,27.06,0.0,31.86
20231113,27.12,0.0,30.54
20231114,27.24,0.0,30.6
20231115,26.84,0.01,38.02
20231116,27.6,0.0,36.44
20231117,26.44,0.0,26.17
20231118,25.42,0.0,24.56
20231119,25.22,0.0,29.14
20231120,24.62,0.0,28.58
20231121,26.01,0.0,26.03
20231122,25.3,0.0,30.66
20231123,27.47,0.0,33.17
20231124,28.09,0.0,39.44
20231125,28.48,0.0,48.9
20231126,29.01,0.0,42.04
20231127,27.49,0.0,37.63
20231128,27.05,0.0,31.62
20231129,27.47,0.0,30.01
20231130,27.38,0.0,29.52
20231201,27.01,0.0,27.06
20231202,25.51,0.0,26.82
20231203,24.92,0.0,25.5
20231204,24.33,0.0,23.75
20231205,23.6,0.0,24.52
20231206,23.98,0.0,24.11
20231207,23.96,0.0,21.81
20231208,22.69,0.0,21.32
20231209,20.75,0.0,20.71
20231210,21.8,0.0,23.89
20231211,20.68,0.0,29.31
20231212,19.3,0.0,31.46
20231213,18.44,0.0,32.24
20231214,20.0,0.0,35.11
20231215,21.79,0.0,35.71
20231216,21.49,0.0,26.4
20231217,21.68,0.0,25.22
20231218,22.27,0.0,25.17
20231219,23.19,0.0,25.54
20231220,22.84,0.0,29.63
20231221,22.78,0.0,29.67
20231222,21.77,0.0,28.5
20231223,20.76,0.0,28.81
