date,T2M,PRECTOTCORR,RH2M
20230101,24.86,0.0,60.62
20230102,25.39,0.0,64.01
20230103,25.29,0.0,66.45
20230104,25.76,0.0,66.24
20230105,25.59,0.0,80.38
20230106,26.34,0.0,86.35
20230107,26.52,0.0,84.21
20230108,25.8,0.0,82.58
20230109,25.15,0.0,72.75
20230110,25.35,0.0,77.36
20230111,26.11,0.0,78.32
20230112,25.75,0.0,81.6
20230113,26.51,0.0,80.79
20230114,26.09,0.0,75.94
20230115,26.5,0.0,80.42
20230116,26.5,0.0,78.75
20230117,25.95,0.0,66.28
20230118,26.44,0.0,76.69
20230119,26.98,0.0,83.53
20230120,27.24,0.0,84.59
20230121,27.44,0.36,86.08
20230122,27.04,0.48,87.57
20230123,26.9,0.33,87.28
20230124,27.15,0.38,84.8
20230125,27.49,0.39,82.73
20230126,27.17,0.54,86.24
20230127,26.94,0.54,87.45
20230128,26.92,1.02,89.07
20230129,26.64,0.38,86.77
20230130,26.41,1.1,88.14
20230131,27.06,0.01,82.84
20230201,27.34,0.01,83.65
20230202,27.54,0.02,82.76
20230203,27.62,0.05,83.36
20230204,27.27,0.07,87.49
20230205,27.14,0.38,88.17
20230206,27.09,0.14,86.54
20230207,27.5,0.02,77.96
20230208,27.59,0.14,81.57
20230209,27.69,0.1,82.09
20230210,28.08,0.0,83.1
20230211,28.14,0.0,84.13
20230212,28.03,0.0,84.6
20230213,27.89,0.0,84.91
20230214,27.79,0.0,84.62
20230215,27.66,0.0,82.29
20230216,27.07,0.0,72.73
20230217,26.27,0.0,64.69
20230218,26.07,0.0,66.81
20230219,26.36,0.0,68.94
20230220,26.91,0.05,80.82
20230221,27.44,0.43,84.87
20230222,27.55,0.78,86.02
20230223,27.58,2.1,86.83
20230224,27.38,1.73,86.6
20230225,27.45,2.31,82.04
20230226,27.52,3.35,84.31
20230227,27.47,2.02,86.94
20230228,27.6,3.53,87.48
20230301,27.72,1.72,85.3
20230302,27.52,4.3,87.95
20230303,27.71,5.5,85.92
20230304,27.77,3.85,85.29
20230305,27.78,2.31,84.26
20230306,27.9,1.79,85.4
20230307,27.97,2.07,82.49
20230308,28.01,1.4,84.19
20230309,27.82,2.84,84.98
20230310,27.42,0.53,84.07
20230311,27.67,1.5,85.21
20230312,27.4,1.41,84.31
20230313,27.47,1.11,86.02
20230314,27.9,1.17,82.27
20230315,27.72,1.65,82.57
20230316,27.3,3.62,85.29
20230317,27.81,4.08,80.12
20230318,27.1,20.92,84.54
20230319,27.72,1.19,79.14
20230320,27.98,2.0,78.66
20230321,27.68,9.59,82.8
20230322,26.71,7.57,84.92
