date,T2M,PRECTOTCORR,RH2M
20230101,25.48,0.0,67.46
20230102,25.2,0.0,70.67
20230103,26.01,0.01,73.2
20230104,25.25,0.06,76.18
20230105,25.33,3.15,83.19
20230106,25.71,0.01,85.85
20230107,24.81,0.0,75.24
20230108,24.35,0.0,77.07
20230109,24.0,0.0,72.73
20230110,24.39,0.0,69.59
20230111,24.92,0.0,72.87
20230112,23.16,0.0,70.3
20230113,24.2,0.0,70.14
20230114,25.38,0.01,82.11
20230115,25.94,0.07,83.22
20230116,25.26,0.0,72.42
20230117,24.93,0.0,72.7
20230118,26.04,0.0,77.4
20230119,26.0,0.01,82.69
20230120,26.72,0.01,84.14
20230121,26.88,0.4,84.61
20230122,26.28,1.07,88.97
20230123,26.39,0.33,86.34
20230124,26.59,0.92,86.04
20230125,27.16,1.97,85.26
20230126,26.3,0.47,90.56
20230127,25.95,0.84,90.73
20230128,25.84,1.1,91.88
20230129,26.12,0.86,88.0
20230130,24.93,0.81,94.07
20230131,25.87,0.0,88.45
20230201,25.93,0.0,90.17
20230202,26.45,0.0,87.98
20230203,27.61,0.0,82.88
20230204,26.56,0.0,90.54
20230205,26.74,0.65,87.5
20230206,26.42,1.06,89.33
20230207,26.67,0.93,86.38
20230208,27.17,0.77,84.88
20230209,27.84,0.46,81.42
20230210,28.27,0.0,80.9
20230211,28.41,0.0,80.57
20230212,27.02,0.0,80.74
20230213,24.85,0.0,73.07
20230214,24.1,0.0,72.54
20230215,24.39,0.0,70.52
20230216,25.79,0.0,62.35
20230217,24.69,0.0,69.51
20230218,25.55,0.0,71.35
20230219,25.11,0.0,72.91
20230220,24.93,0.0,66.21
20230221,25.41,0.2,76.99
20230222,27.13,7.95,87.13
20230223,27.14,6.71,87.4
20230224,26.9,6.55,89.41
20230225,26.86,4.64,90.53
20230226,27.16,3.89,86.93
20230227,26.76,7.17,90.02
20230228,26.75,1.19,89.27
20230301,27.25,4.07,87.12
20230302,26.64,2.39,90.78
20230303,26.73,2.49,89.7
20230304,26.09,4.97,93.29
20230305,27.04,3.28,84.55
20230306,25.59,2.57,92.32
20230307,26.74,8.37,88.26
20230308,26.55,13.95,91.54
20230309,26.37,14.05,91.74
20230310,27.49,10.4,85.98
20230311,26.72,4.55,86.48
20230312,26.29,3.16,90.13
20230313,26.43,3.92,89.66
20230314,26.69,3.72,89.62
20230315,26.42,39.11,90.73
20230316,25.96,3.28,86.95
20230317,27.15,4.64,82.47
20230318,25.66,9.71,91.77
20230319,25.89,2.09,83.39
20230320,27.32,1.87,78.38
20230321,26.01,15.18,90.58
20230322,26.99,2.72,83.27
20230323,26.69,4.66,84.13
20230324,25.14,6.66,91.58
20230325,26.01,3.14,89.23
20230326,26.33,13.51,83.92
20230327,26.46,3.75,85.31
20230328,27.59,3.2,80.24
20230329,26.67,3.09,89.0
20230330,27.16,1.61,86.54
20230331,26.01,2.11,91.58
20230401,27.2,0.1,82.67
20230402,26.76,0.16,87.85
20230403,26.42,0.62,90.08
20230404,26.3,0.65,89.84
20230405,27.33,0.09,85.85
20230406,26.41,19.37,92.48
20230407,27.05,17.59,89.89
20230408,27.02,18.88,90.42
20230409,26.1,23.41,90.74
20230410,27.24,8.91,86.51
20230411,26.24,1.61,91.71
20230412,26.81,0.29,87.52
20230413,27.35,1.14,87.21
20230414,27.16,6.05,90.72
20230415,27.51,1.18,88.56
20230416,26.75,1.2,89.89
20230417,26.98,3.42,86.76
20230418,27.36,0.33,87.15
20230419,26.89,9.51,90.0
20230420,27.88,4.67,85.56
20230421,26.94,13.15,89.82
20230422,26.93,3.97,90.29
20230423,26.51,6.06,92.74
20230424,27.57,1.35,84.69
20230425,26.88,4.45,89.96
20230426,26.77,2.45,89.28
20230427,26.04,2.8,90.28
20230428,26.8,1.1,86.68
20230429,25.85,5.58,92.32
20230430,25.65,3.15,90.83
20230501,25.74,3.43,87.05
20230502,26.57,2.93,85.64
20230503,26.78,2.24,87.48
20230504,26.75,4.59,89.25
20230505,27.55,3.48,82.47
20230506,26.57,0.78,87.21
20230507,26.69,1.95,89.3
20230508,26.61,1.13,87.21
20230509,26.47,1.72,90.28
20230510,26.89,1.56,91.64
20230511,26.87,6.65,91.25
20230512,28.25,6.52,83.46
20230513,28.57,3.2,84.34
20230514,28.37,8.9,87.02
20230515,27.54,11.7,91.54
20230516,27.25,14.72,90.85
20230517,26.73,8.17,89.42
20230518,27.3,9.22,87.79
20230519,27.19,18.26,91.69
20230520,27.27,28.89,90.86
20230521,26.46,2.68,92.07
20230522,27.42,2.11,87.79
20230523,27.08,1.68,90.8
20230524,27.26,2.76,90.42
20230525,27.06,3.29,90.28
20230526,27.44,11.09,89.17
20230527,26.76,11.1,93.04
20230528,25.79,8.01,94.14
20230529,27.0,2.24,86.52
20230530,26.64,4.08,90.36
20230531,26.32,2.18,93.45
20230601,26.29,4.96,93.16
20230602,26.25,9.53,92.57
20230603,26.86,1.68,87.63
20230604,25.76,3.83,94.07
20230605,26.06,14.92,91.8
20230606,25.59,19.43,93.62
20230607,25.56,5.09,92.8
20230608,25.49,11.05,91.05
20230609,25.37,9.14,93.11
20230610,25.83,10.71,91.31
20230611,26.18,13.32,89.33
20230612,26.52,5.29,88.14
20230613,24.93,4.02,91.02
20230614,25.43,4.69,89.65
20230615,25.87,10.52,89.06
20230616,26.29,4.39,87.22
20230617,26.6,7.38,89.12
20230618,25.87,30.68,94.45
20230619,25.67,73.52,94.99
20230620,25.57,4.55,93.9
20230621,25.27,7.32,93.69
20230622,25.09,1.55,92.88
20230623,25.41,2.75,88.97
20230624,25.28,0.39,88.09
20230625,25.37,2.11,87.12
20230626,24.95,3.97,92.04
20230627,24.52,9.52,94.08
20230628,24.96,51.58,94.86
20230629,25.85,8.81,90.11
20230630,25.73,8.21,91.73
20230701,25.12,20.83,93.85
20230702,25.56,14.89,93.1
20230703,26.65,8.23,88.82
20230704,25.0,14.5,96.13
20230705,25.44,4.5,87.83
20230706,26.19,5.85,87.22
20230707,25.63,17.08,93.51
20230708,24.95,17.45,95.26
20230709,25.73,8.6,90.31
20230710,26.17,0.97,88.11
20230711,24.95,2.64,94.26
20230712,25.77,15.89,91.94
20230713,25.93,1.31,90.68
20230714,26.78,5.99,88.65
20230715,27.36,1.05,86.21
20230716,25.55,4.44,94.61
20230717,26.09,4.07,90.91
20230718,25.52,5.15,94.68
20230719,25.56,0.98,96.16
20230720,25.9,8.74,93.7
20230721,26.0,8.87,92.49
20230722,24.83,7.69,96.14
20230723,25.7,19.41,90.52
20230724,24.79,15.7,94.34
20230725,26.39,7.65,86.99
20230726,26.57,11.24,88.47
20230727,25.91,15.39,91.71
20230728,25.26,23.05,94.0
20230729,25.09,21.45,93.81
20230730,26.02,2.56,90.72
20230731,25.26,2.65,93.9
20230801,25.14,2.19,91.33
20230802,25.02,0.85,90.13
