city,osm_id,type,lat,lon,landuse,leisure,name
Abuja,560215243,way,8.9823035,7.2804457,farmland,,
Abuja,809640481,way,9.2423164,7.1891922,farmland,,
Abuja,810612167,way,9.2441679,7.1842511,farmland,,
Abuja,813506399,way,9.2359484,7.2136293,farmland,,
Abuja,817121471,way,9.2113824,7.2064784,farmland,,
Abuja,817121472,way,9.2111283,7.2066527,farmland,,
Abuja,817122990,way,9.2109562,7.2062376,farmland,,
Abuja,843336964,way,9.1747895,7.1836006,farmland,,
Abuja,843340304,way,9.2439113,7.1677747,farmland,,
Abuja,843340305,way,9.2439246,7.1678606,farmland,,
Abuja,843340306,way,9.2439511,7.1675499,farmland,,
Abuja,843340312,way,9.243877,7.1681032,farmland,,
Abuja,843340316,way,9.2441484,7.1674523,farmland,,
Abuja,843340336,way,9.2443468,7.1668578,farmland,,
Abuja,843340354,way,9.244142,7.1648255,farmland,,
Abuja,843340356,way,9.2438977,7.1653866,farmland,,
Abuja,843340365,way,9.2417541,7.1647431,farmland,,
Abuja,1005807389,way,8.9874127,7.4260439,farmland,,
Abuja,1005875562,way,8.9861269,7.4252155,farmland,,
Abuja,1094584955,way,9.1629981,7.3420748,farmland,,
Abuja,1155774644,way,9.0197909,7.4179292,farmland,,
Abuja,1156287502,way,8.9347496,7.4324229,farmland,,
Abuja,1324336929,way,8.9795084,7.1765573,farmland,,
Abuja,12120100,relation,9.0439759,7.5249958,farmland,,
Abuja,12120103,relation,9.0459482,7.5201652,farmland,,
Abuja,560215217,way,8.9629336,7.2464769,farmyard,,
Abuja,749479635,way,9.092068,7.4260766,farmyard,,
Abuja,7598938256,node,9.2359746,7.2136127,,garden,
Abuja,979766547,way,9.0284428,7.4725136,,garden,
Abuja,1156002261,way,9.0184226,7.4240357,,garden,Jemil Garden
Abuja,14518737,relation,9.0547439,7.4772069,,garden,
Abuja,15612294,relation,9.0946853,7.480695,,garden,
Lagos,701715124,way,6.6162615,3.3718711,allotments,,Security Post
Lagos,770004152,way,6.7120857,3.5710059,allotments,,
Lagos,770004153,way,6.7121689,3.5711441,allotments,,
Lagos,770004154,way,6.7123473,3.5703721,allotments,,
Lagos,770004156,way,6.712085,3.5700265,allotments,,
Lagos,113524900,way,6.5221435,3.1668339,farmland,,
Lagos,493104055,way,6.6102972,2.9130265,farmland,,
Lagos,707225702,way,6.5156649,3.3968304,farmland,,UNILAG Staff School
Lagos,732930365,way,6.6654123,3.2431684,farmland,,
Lagos,732930389,way,6.4834632,3.256551,farmland,,
Lagos,732930391,way,6.499522,3.2792326,farmland,,
