indicator,indicator_value,country,date,value,obs_status
SP.URB.TOTL,Urban population,NG,2024,146531222,
SP.URB.TOTL,Urban population,NG,2023,141685483,
SP.URB.TOTL,Urban population,NG,2022,136953875,
SP.URB.TOTL,Urban population,NG,2021,132362871,
SP.URB.TOTL,Urban population,NG,2020,127896884,
SP.URB.TOTL,Urban population,NG,2019,123515077,
SP.URB.TOTL,Urban population,NG,2018,119182819,
SP.URB.TOTL,Urban population,NG,2017,114843267,
SP.URB.TOTL,Urban population,NG,2016,110505898,
SP.URB.TOTL,Urban population,NG,2015,106266334,
SP.URB.TOTL,Urban population,NG,2014,102100615,
SP.URB.TOTL,Urban population,NG,2013,97971440,
SP.URB.TOTL,Urban population,NG,2012,93918660,
SP.URB.TOTL,Urban population,NG,2011,89957755,
SP.URB.TOTL,Urban population,NG,2010,86117409,
SP.URB.TOTL,Urban population,NG,2009,82425706,
SP.URB.TOTL,Urban population,NG,2008,78877126,
SP.URB.TOTL,Urban population,NG,2007,75462360,
SP.URB.TOTL,Urban population,NG,2006,72189614,
SP.URB.TOTL,Urban population,NG,2005,68978387,
SP.URB.TOTL,Urban population,NG,2004,65872907,
SP.URB.TOTL,Urban population,NG,2003,62889861,
SP.URB.TOTL,Urban population,NG,2002,60034770,
SP.URB.TOTL,Urban population,NG,2001,57303483,
SP.URB.TOTL,Urban population,NG,2000,54696454,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2024,,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2023,,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2022,119.85,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2021,117.33,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2020,112.64,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2019,109.77,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2018,114.06,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2017,109.08,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2016,106.78,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2015,97.74,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2014,95.48,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2013,84.66,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2012,86.95,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2011,78.94,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2010,85.24,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2009,75.54,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2008,84.11,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2007,79.1,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2006,84.33,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2005,79.33,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2004,75.1,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2003,70.53,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2002,67.65,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2001,64.33,
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),NG,2000,64.5,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2024,,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2023,19.9,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2022,18.7,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2021,17.6,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2020,15.8,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2019,14.3,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2018,12.1,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2017,11.5,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2016,10.8,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2015,10.7,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2014,11.1,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2013,11.4,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2012,11.7,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2011,11.1,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2010,10.4,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2009,9.9,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2008,9.6,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2007,9.4,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2006,9.2,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2005,9.1,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2004,8.9,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2003,8.8,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2002,8.7,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2001,8.7,
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),NG,2000,,
