GID_2,NAME_2,NAME_1,n,area_km2,density,lisa_quad
NGA.20.38_1,Tarauni,Kano,25,23.628335669756378,1.0580516693775988,HH
NGA.25.19_1,Shomolu,Lagos,10,18.304472125135,0.5463145799363633,HH
NGA.20.42_1,Ungogo,Kano,90,187.4432227788127,0.4801453937131782,HH
NGA.33.15_1,Obio/Akpor,Rivers,64,275.4747048537488,0.23232623131034116,NA
NGA.25.16_1,Mushin,Lagos,4,17.387126779963722,0.23005526160937936,HH
NGA.20.18_1,Gwale,Kano,4,23.810042276809565,0.16799634177449185,HH
NGA.20.31_1,Nasarawa,Kano,3,19.019445913894664,0.15773330167354396,HH
NGA.20.21_1,Kano,Kano,4,26.49988259820772,0.15094406494731166,HH
NGA.20.12_1,Fagge,Kano,4,27.659587880694655,0.1446153144888991,HH
NGA.25.12_1,Ikorodu,Lagos,53,369.51444784690625,0.14343146880675817,NA
